category	field	source_name	storage_slot	display_name	definition
object_free	fre.image_pixel_low_extrema	image_pixel_low_extrema	n08	image pixel low extrema	Champ libre object_free fourni par EcoTaxa, stocke dans n08.
object_free	fre.image_pixel_high_extrema	image_pixel_high_extrema	n09	image pixel high extrema	Champ libre object_free fourni par EcoTaxa, stocke dans n09.
object_free	fre.image_pixel_count	image_pixel_count	n10	image pixel count	Champ libre object_free fourni par EcoTaxa, stocke dans n10.
object_free	fre.moments_weighted-0-1	moments_weighted-0-1	n100	moments weighted-0-1	Champ libre object_free fourni par EcoTaxa, stocke dans n100.
object_free	fre.moments_weighted-0-2	moments_weighted-0-2	n101	moments weighted-0-2	Champ libre object_free fourni par EcoTaxa, stocke dans n101.
object_free	fre.moments_weighted-0-3	moments_weighted-0-3	n102	moments weighted-0-3	Champ libre object_free fourni par EcoTaxa, stocke dans n102.
object_free	fre.moments_weighted-1-0	moments_weighted-1-0	n103	moments weighted-1-0	Champ libre object_free fourni par EcoTaxa, stocke dans n103.
object_free	fre.moments_weighted-1-1	moments_weighted-1-1	n104	moments weighted-1-1	Champ libre object_free fourni par EcoTaxa, stocke dans n104.
object_free	fre.moments_weighted-1-2	moments_weighted-1-2	n105	moments weighted-1-2	Champ libre object_free fourni par EcoTaxa, stocke dans n105.
object_free	fre.moments_weighted-1-3	moments_weighted-1-3	n106	moments weighted-1-3	Champ libre object_free fourni par EcoTaxa, stocke dans n106.
object_free	fre.moments_weighted-2-0	moments_weighted-2-0	n107	moments weighted-2-0	Champ libre object_free fourni par EcoTaxa, stocke dans n107.
object_free	fre.moments_weighted-2-1	moments_weighted-2-1	n108	moments weighted-2-1	Champ libre object_free fourni par EcoTaxa, stocke dans n108.
object_free	fre.moments_weighted-2-2	moments_weighted-2-2	n109	moments weighted-2-2	Champ libre object_free fourni par EcoTaxa, stocke dans n109.
object_free	fre.image_pixel_int_mean	image_pixel_int_mean	n11	image pixel int mean	Champ libre object_free fourni par EcoTaxa, stocke dans n11.
object_free	fre.moments_weighted-2-3	moments_weighted-2-3	n110	moments weighted-2-3	Champ libre object_free fourni par EcoTaxa, stocke dans n110.
object_free	fre.moments_weighted-3-0	moments_weighted-3-0	n111	moments weighted-3-0	Champ libre object_free fourni par EcoTaxa, stocke dans n111.
object_free	fre.moments_weighted-3-1	moments_weighted-3-1	n112	moments weighted-3-1	Champ libre object_free fourni par EcoTaxa, stocke dans n112.
object_free	fre.moments_weighted-3-2	moments_weighted-3-2	n113	moments weighted-3-2	Champ libre object_free fourni par EcoTaxa, stocke dans n113.
object_free	fre.moments_weighted-3-3	moments_weighted-3-3	n114	moments weighted-3-3	Champ libre object_free fourni par EcoTaxa, stocke dans n114.
object_free	fre.moments_weighted_central-0-0	moments_weighted_central-0-0	n115	moments weighted central-0-0	Champ libre object_free fourni par EcoTaxa, stocke dans n115.
object_free	fre.moments_weighted_central-0-1	moments_weighted_central-0-1	n116	moments weighted central-0-1	Champ libre object_free fourni par EcoTaxa, stocke dans n116.
object_free	fre.moments_weighted_central-0-2	moments_weighted_central-0-2	n117	moments weighted central-0-2	Champ libre object_free fourni par EcoTaxa, stocke dans n117.
object_free	fre.moments_weighted_central-0-3	moments_weighted_central-0-3	n118	moments weighted central-0-3	Champ libre object_free fourni par EcoTaxa, stocke dans n118.
object_free	fre.moments_weighted_central-1-0	moments_weighted_central-1-0	n119	moments weighted central-1-0	Champ libre object_free fourni par EcoTaxa, stocke dans n119.
object_free	fre.image_pixel_int_variance	image_pixel_int_variance	n12	image pixel int variance	Champ libre object_free fourni par EcoTaxa, stocke dans n12.
object_free	fre.moments_weighted_central-1-1	moments_weighted_central-1-1	n120	moments weighted central-1-1	Champ libre object_free fourni par EcoTaxa, stocke dans n120.
object_free	fre.moments_weighted_central-1-2	moments_weighted_central-1-2	n121	moments weighted central-1-2	Champ libre object_free fourni par EcoTaxa, stocke dans n121.
object_free	fre.moments_weighted_central-1-3	moments_weighted_central-1-3	n122	moments weighted central-1-3	Champ libre object_free fourni par EcoTaxa, stocke dans n122.
object_free	fre.moments_weighted_central-2-0	moments_weighted_central-2-0	n123	moments weighted central-2-0	Champ libre object_free fourni par EcoTaxa, stocke dans n123.
object_free	fre.moments_weighted_central-2-1	moments_weighted_central-2-1	n124	moments weighted central-2-1	Champ libre object_free fourni par EcoTaxa, stocke dans n124.
object_free	fre.moments_weighted_central-2-2	moments_weighted_central-2-2	n125	moments weighted central-2-2	Champ libre object_free fourni par EcoTaxa, stocke dans n125.
object_free	fre.moments_weighted_central-2-3	moments_weighted_central-2-3	n126	moments weighted central-2-3	Champ libre object_free fourni par EcoTaxa, stocke dans n126.
object_free	fre.moments_weighted_central-3-0	moments_weighted_central-3-0	n127	moments weighted central-3-0	Champ libre object_free fourni par EcoTaxa, stocke dans n127.
object_free	fre.moments_weighted_central-3-1	moments_weighted_central-3-1	n128	moments weighted central-3-1	Champ libre object_free fourni par EcoTaxa, stocke dans n128.
object_free	fre.moments_weighted_central-3-2	moments_weighted_central-3-2	n129	moments weighted central-3-2	Champ libre object_free fourni par EcoTaxa, stocke dans n129.
object_free	fre.image_pixel_int_stddev	image_pixel_int_stddev	n13	image pixel int stddev	Champ libre object_free fourni par EcoTaxa, stocke dans n13.
object_free	fre.moments_weighted_central-3-3	moments_weighted_central-3-3	n130	moments weighted central-3-3	Champ libre object_free fourni par EcoTaxa, stocke dans n130.
object_free	fre.moments_weighted_hu-0	moments_weighted_hu-0	n131	moments weighted hu-0	Champ libre object_free fourni par EcoTaxa, stocke dans n131.
object_free	fre.moments_weighted_hu-1	moments_weighted_hu-1	n132	moments weighted hu-1	Champ libre object_free fourni par EcoTaxa, stocke dans n132.
object_free	fre.moments_weighted_hu-2	moments_weighted_hu-2	n133	moments weighted hu-2	Champ libre object_free fourni par EcoTaxa, stocke dans n133.
object_free	fre.moments_weighted_hu-3	moments_weighted_hu-3	n134	moments weighted hu-3	Champ libre object_free fourni par EcoTaxa, stocke dans n134.
object_free	fre.moments_weighted_hu-4	moments_weighted_hu-4	n135	moments weighted hu-4	Champ libre object_free fourni par EcoTaxa, stocke dans n135.
object_free	fre.moments_weighted_hu-5	moments_weighted_hu-5	n136	moments weighted hu-5	Champ libre object_free fourni par EcoTaxa, stocke dans n136.
object_free	fre.moments_weighted_hu-6	moments_weighted_hu-6	n137	moments weighted hu-6	Champ libre object_free fourni par EcoTaxa, stocke dans n137.
object_free	fre.moments_weighted_normalized-0-2	moments_weighted_normalized-0-2	n138	moments weighted normalized-0-2	Champ libre object_free fourni par EcoTaxa, stocke dans n138.
object_free	fre.moments_weighted_normalized-0-3	moments_weighted_normalized-0-3	n139	moments weighted normalized-0-3	Champ libre object_free fourni par EcoTaxa, stocke dans n139.
object_free	fre.area	area	n14	area	Champ libre object_free fourni par EcoTaxa, stocke dans n14.
object_free	fre.moments_weighted_normalized-1-1	moments_weighted_normalized-1-1	n140	moments weighted normalized-1-1	Champ libre object_free fourni par EcoTaxa, stocke dans n140.
object_free	fre.moments_weighted_normalized-1-2	moments_weighted_normalized-1-2	n141	moments weighted normalized-1-2	Champ libre object_free fourni par EcoTaxa, stocke dans n141.
object_free	fre.moments_weighted_normalized-1-3	moments_weighted_normalized-1-3	n142	moments weighted normalized-1-3	Champ libre object_free fourni par EcoTaxa, stocke dans n142.
object_free	fre.moments_weighted_normalized-2-0	moments_weighted_normalized-2-0	n143	moments weighted normalized-2-0	Champ libre object_free fourni par EcoTaxa, stocke dans n143.
object_free	fre.moments_weighted_normalized-2-1	moments_weighted_normalized-2-1	n144	moments weighted normalized-2-1	Champ libre object_free fourni par EcoTaxa, stocke dans n144.
object_free	fre.moments_weighted_normalized-2-2	moments_weighted_normalized-2-2	n145	moments weighted normalized-2-2	Champ libre object_free fourni par EcoTaxa, stocke dans n145.
object_free	fre.moments_weighted_normalized-2-3	moments_weighted_normalized-2-3	n146	moments weighted normalized-2-3	Champ libre object_free fourni par EcoTaxa, stocke dans n146.
object_free	fre.moments_weighted_normalized-3-0	moments_weighted_normalized-3-0	n147	moments weighted normalized-3-0	Champ libre object_free fourni par EcoTaxa, stocke dans n147.
object_free	fre.moments_weighted_normalized-3-1	moments_weighted_normalized-3-1	n148	moments weighted normalized-3-1	Champ libre object_free fourni par EcoTaxa, stocke dans n148.
object_free	fre.moments_weighted_normalized-3-2	moments_weighted_normalized-3-2	n149	moments weighted normalized-3-2	Champ libre object_free fourni par EcoTaxa, stocke dans n149.
object_free	fre.area_bbox	area_bbox	n15	area bbox	Champ libre object_free fourni par EcoTaxa, stocke dans n15.
object_free	fre.moments_weighted_normalized-3-3	moments_weighted_normalized-3-3	n150	moments weighted normalized-3-3	Champ libre object_free fourni par EcoTaxa, stocke dans n150.
object_free	fre.orientation	orientation	n151	orientation	Champ libre object_free fourni par EcoTaxa, stocke dans n151.
object_free	fre.perimeter	perimeter	n152	perimeter	Champ libre object_free fourni par EcoTaxa, stocke dans n152.
object_free	fre.perimeter_crofton	perimeter_crofton	n153	perimeter crofton	Champ libre object_free fourni par EcoTaxa, stocke dans n153.
object_free	fre.solidity	solidity	n154	solidity	Champ libre object_free fourni par EcoTaxa, stocke dans n154.
object_free	fre.threshold	threshold	n155	threshold	Champ libre object_free fourni par EcoTaxa, stocke dans n155.
object_free	fre.trimmed_masked_image_numb_of_regions	trimmed_masked_image_numb_of_regions	n156	trimmed masked image numb of regions	Champ libre object_free fourni par EcoTaxa, stocke dans n156.
object_free	fre.trimmed_mask_numb_of_regions	trimmed_mask_numb_of_regions	n157	trimmed mask numb of regions	Champ libre object_free fourni par EcoTaxa, stocke dans n157.
object_free	fre.trimmed_labeled_mask_numb_of_regions	trimmed_labeled_mask_numb_of_regions	n158	trimmed labeled mask numb of regions	Champ libre object_free fourni par EcoTaxa, stocke dans n158.
object_free	fre.log_moments_central-0-1	log_moments_central-0-1	n159	log moments central-0-1	Champ libre object_free fourni par EcoTaxa, stocke dans n159.
object_free	fre.area_convex	area_convex	n16	area convex	Champ libre object_free fourni par EcoTaxa, stocke dans n16.
